Year,Pollutant,Index
1990,NOx,100.0
1990,PM2.5,100.0
1990,SO2,100.0
1990,NMVOC,100.0
1990,NH3,100.0
1995,NOx,81.1150364098395
1995,PM2.5,77.52429436392583
1995,SO2,64.41881295087217
1995,NMVOC,78.2833575732084
1995,NH3,89.24674311016261
1998,NOx,68.66763340641221
1998,PM2.5,69.78621927878345
1998,SO2,44.550010571142195
1998,NMVOC,66.61690754403618
1998,NH3,94.2852796811955
1999,NOx,64.62676807649159
1999,PM2.5,69.16182243959005
1999,SO2,33.58479340372368
1999,NMVOC,59.96288686493316
1999,NH3,92.37737644072942
2000,NOx,61.7372181198674
2000,PM2.5,63.062390165494975
2000,SO2,31.689836979590613
2000,NMVOC,54.401015564011246
2000,NH3,90.19890328473454
2001,NOx,60.66386371897438
2001,PM2.5,62.970921253569855
2001,SO2,29.32716348880821
2001,NMVOC,51.867747434950594
2001,NH3,86.85858554549932
2002,NOx,57.35035054063614
2002,PM2.5,56.46727897442987
2002,SO2,26.753042574880986
2002,NMVOC,48.05878766331646
2002,NH3,86.3730934285073
2003,NOx,56.889111890548925
2003,PM2.5,57.35453944598549
2003,SO2,26.434267529880017
2003,NMVOC,45.1303174932189
2003,NH3,83.44491147212945
2004,NOx,55.077562094538926
2004,PM2.5,55.76369665610797
2004,SO2,22.03304761319633
2004,NMVOC,42.41472126526163
2004,NH3,85.21516887502601
2005,NOx,54.77945653926216
2005,PM2.5,54.80551449335705
2005,SO2,18.776231160818735
2005,NMVOC,39.78494663097417
2005,NH3,82.6683236347598
2006,NOx,52.392560608992035
2006,PM2.5,53.541756481018254
2006,SO2,17.02235226312698
2006,NMVOC,37.86669088635773
2006,NH3,81.40012786337036
2007,NOx,50.85906368289926
2007,PM2.5,50.814487137956434
2007,SO2,15.0426437308172
2007,NMVOC,35.888631304669715
2007,NH3,79.86756269008411
2008,NOx,44.71407652669142
2008,PM2.5,51.04360949518484
2008,SO2,12.405503898020912
2008,NMVOC,33.29583982184673
2008,NH3,75.37900587734075
2009,NOx,38.698156654553244
2009,PM2.5,48.60927145494391
2009,SO2,9.938539744589557
2009,NMVOC,29.680124802857254
2009,NH3,76.28192439598484
2010,NOx,37.660306391067806
2010,PM2.5,52.112675502233905
2010,SO2,9.957142483531094
2010,NMVOC,28.696357699672113
2010,NH3,76.24570014200076
2011,NOx,35.12196702112993
2011,PM2.5,46.883615909517346
2011,SO2,9.681892148264678
2011,NMVOC,27.868310971781685
2011,NH3,78.00653077250455
2012,NOx,35.854754873510345
2012,PM2.5,49.68932204496763
2012,SO2,11.253402631547607
2012,NMVOC,27.018072924902125
2012,NH3,76.56480268434646
2013,NOx,33.85067929650204
2013,PM2.5,50.39973470257975
2013,SO2,9.587223087802547
2013,NMVOC,25.89632788651281
2013,NH3,74.92796483917135
2014,NOx,31.578183844482076
2014,PM2.5,47.57537807149915
2014,SO2,7.8347353937988125
2014,NMVOC,25.73466474837072
2014,NH3,79.25429953269341
2015,NOx,29.95924236718759
2015,PM2.5,47.711488551694735
2015,SO2,5.859238086233379
2015,NMVOC,25.565485419818167
2015,NH3,80.52149984765653
2016,NOx,26.73579160615199
2016,PM2.5,46.94579149996218
2016,SO2,4.108353286582611
2016,NMVOC,24.98855406679191
2016,NH3,81.12908833837601
2017,NOx,26.106406492784696
2017,PM2.5,46.81046076465872
2017,SO2,4.180948192720881
2017,NMVOC,24.995496803891136
2017,NH3,81.62719324997875
2018,NOx,25.22258609223811
2018,PM2.5,47.74346214626998
2018,SO2,3.7860030898210746
2018,NMVOC,24.94731873840564
2018,NH3,81.5488354217582
