Year,Sector,Value
1990,Agriculture,33483.07873742323
1995,Agriculture,32023.74869828187
1998,Agriculture,31845.28008607707
1999,Agriculture,31873.301211029255
2000,Agriculture,30221.892227246975
2001,Agriculture,28294.92916821951
2002,Agriculture,28197.27553240599
2003,Agriculture,28731.493901080667
2004,Agriculture,28713.291529541995
2005,Agriculture,28445.820465032637
2006,Agriculture,27724.889088987435
2007,Agriculture,27120.47589022789
2008,Agriculture,26851.8829060396
2009,Agriculture,26605.675121963566
2010,Agriculture,26592.452653592496
2011,Agriculture,26739.501809562207
2012,Agriculture,26495.213768025347
2013,Agriculture,26262.89270501769
2014,Agriculture,27262.799212761325
2015,Agriculture,27006.23639310417
2016,Agriculture,26828.508323352653
2017,Agriculture,27162.929611165928
2018,Agriculture,27005.555379505946
1990,Fluorinated gases,16887.778045524945
1995,Fluorinated gases,20441.77492648161
1998,Fluorinated gases,20963.839562482775
1999,Fluorinated gases,12479.670453866205
2000,Fluorinated gases,11092.702624429005
2001,Fluorinated gases,11532.828693897956
2002,Fluorinated gases,11823.86813388577
2003,Fluorinated gases,12867.267031486359
2004,Fluorinated gases,11704.081216840608
2005,Fluorinated gases,12668.40483808039
2006,Fluorinated gases,13276.714180227409
2007,Fluorinated gases,13498.427501160153
2008,Fluorinated gases,13736.867692885697
2009,Fluorinated gases,14047.728400566008
2010,Fluorinated gases,15049.19812789376
2011,Fluorinated gases,13796.139124922847
2012,Fluorinated gases,13817.339464306322
2013,Fluorinated gases,14037.17308425194
2014,Fluorinated gases,14103.286004751926
2015,Fluorinated gases,14140.009909620563
2016,Fluorinated gases,13521.385972847202
2017,Fluorinated gases,12775.122023106162
2018,Fluorinated gases,11669.71840040683
1990,Forestry sink,-7625.063337608671
1995,Forestry sink,-7795.139671346337
1998,Forestry sink,-8151.429616275003
1999,Forestry sink,-8245.874594779008
2000,Forestry sink,-8361.466966229673
2001,Forestry sink,-8466.537717847677
2002,Forestry sink,-8575.464117285348
2003,Forestry sink,-8628.792757934343
2004,Forestry sink,-8595.789914404679
2005,Forestry sink,-8558.749790226006
2006,Forestry sink,-8490.045550174678
2007,Forestry sink,-8487.638687802677
2008,Forestry sink,-8569.927269719668
2009,Forestry sink,-8547.489436628011
2010,Forestry sink,-8692.925550255013
2011,Forestry sink,-8778.226691324342
2012,Forestry sink,-8720.41243610501
2013,Forestry sink,-8729.09852296001
2014,Forestry sink,-8729.036592944343
2015,Forestry sink,-8745.69134693601
2016,Forestry sink,-8805.35042550401
2017,Forestry sink,-8731.393516641012
2018,Forestry sink,-8707.588870339678
1990,Land use & land use change,7881.555550880004
1995,Land use & land use change,7376.932226961348
1998,Land use & land use change,6801.97176851234
1999,Land use & land use change,7426.930153217667
2000,Land use & land use change,7426.107576647673
2001,Land use & land use change,7231.802737970009
2002,Land use & land use change,6938.9184239910055
2003,Land use & land use change,6785.784392767014
2004,Land use & land use change,6287.058765597007
2005,Land use & land use change,6090.1422450753325
2006,Land use & land use change,5795.406991804667
2007,Land use & land use change,5486.805767727999
2008,Land use & land use change,5258.33164226601
2009,Land use & land use change,5224.295293017333
2010,Land use & land use change,5082.7510062786705
2011,Land use & land use change,4937.643360362348
2012,Land use & land use change,4745.508782840337
2013,Land use & land use change,4476.157825053011
2014,Land use & land use change,4338.677458625997
2015,Land use & land use change,4175.25237924866
2016,Land use & land use change,4289.740068929661
2017,Land use & land use change,4012.7068999789985
2018,Land use & land use change,3790.933289478001
1990,Waste,55507.63519354535
1995,Waste,57638.60842208478
1998,Waste,56539.74806243974
1999,Waste,54167.41646538211
2000,Waste,52060.97926308794
2001,Waste,50419.77220063584
2002,Waste,49461.40430865094
2003,Waste,46054.59260361729
2004,Waste,42549.08075373847
2005,Waste,40463.78027478012
2006,Waste,37815.6960962756
2007,Waste,35307.6517496803
2008,Waste,31445.170069646367
2009,Waste,28162.65830279475
2010,Waste,24237.70470425978
2011,Waste,22435.59827362441
2012,Waste,21492.11898290436
2013,Waste,19372.33588317501
2014,Waste,17708.69734566574
2015,Waste,16940.514732791526
2016,Waste,16437.123344222447
2017,Waste,16805.735928898182
2018,Waste,17027.476691665106
