Year,Value
1997,59.7150881895361
1998,58.2421847401745
1999,61.3486972955186
2000,56.4165323749898
2001,54.2851679382296
2002,51.7460264579612
2003,58.4535310530144
2004,55.5277125350862
2005,57.8571404880921
2006,58.249537457326
2007,59.0593623602557
2008,53.4815790715562
2009,48.0721795830657
2010,47.9592403469598
2011,43.8786467751698
2012,42.5531736739609
2013,41.0290040437522
2014,40.0199909267891
2015,35.2896507207603
2016,37.7141561231856
2017,33.2629094617719
2018,32.2916744882663
2019,30.3995057714047
