Year,Value
1987,56.1958322810192
1988,63.6740120912583
1989,66.7820862386868
1990,69.0090526042944
1991,67.5090647754196
1992,66.925400004445
1993,64.1228786974178
1994,69.2194509663439
1995,69.8537820350031
1996,66.0445990777601
1997,65.9271091380184
1998,66.7536380580229
1999,71.3998485231178
2000,66.8667948330435
2001,66.1832355723825
2002,66.9609385037934
2003,73.340827790841
2004,71.6374870065958
2005,69.7079889646969
2006,73.7136627933317
2007,67.1231779085362
2008,68.2073208153939
2009,66.5495631071086
2010,66.5295678511618
2011,66.8744812263178
2012,64.4012367998204
2013,67.4370181507237
2014,68.7675323343962
2015,70.3494548047076
2016,66.0834768005574
2017,68.3738345816187
2018,73.7080725107239
2019,71.817000400399
